City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
491,undurkhaan,47.3194,110.6556,-23.029999999999973,84,57,3.52,MN,1706755467
492,merizo village,13.2658,144.6691,30.310000000000002,76,95,9.74,GU,1706755468
493,marang,5.2056,103.2059,25.950000000000045,78,96,2.39,MY,1706755468
494,island harbour,50.724,-1.2758,10.82000000000005,93,100,2.24,GB,1706755468
495,holualoa,19.6228,-155.9522,25.910000000000025,79,40,4.12,US,1706755468
496,lewiston orchards,46.3804,-116.9754,12.710000000000036,73,0,1.54,US,1706755469
497,afaahiti,-17.75,-149.2833,26.930000000000007,80,29,6.76,PF,1706755469
498,fort bragg,35.139,-79.006,6.010000000000048,90,0,2.06,US,1706755469
499,elko,41.0002,-115.5012,10.010000000000048,72,100,2.65,US,1706755406
500,nagqu,31.5,92.0,-6.189999999999998,16,100,9.48,CN,1706755470
501,newala kisimani,-10.95,39.2833,19.010000000000048,97,100,0.99,TZ,1706755470
502,paradip garh,20.3167,86.6167,24.360000000000014,66,46,3.06,IN,1706755470
503,amga,60.8953,131.9608,-28.079999999999984,92,98,1.41,RU,1706755470
504,hakui,36.8833,136.7833,7.080000000000041,83,100,6.37,JP,1706755471
505,alofi,-19.0595,-169.9187,28.939999999999998,84,75,3.09,NU,1706755471
506,wajir,1.7471,40.0573,24.55000000000001,67,88,5.09,KE,1706755191
507,vikulovo,56.8167,70.6107,-20.519999999999982,99,100,1.12,RU,1706755472
508,ago-are,8.5,3.4167,25.650000000000034,22,21,2.55,NG,1706755472
509,luanda,-8.8368,13.2343,25.0,89,75,1.03,AO,1706755197
510,aquidauana,-20.4711,-55.7872,24.52000000000004,62,49,1.17,BR,1706755473
511,karauli,26.5,77.0167,17.210000000000036,49,53,1.13,IN,1706755473
512,port saint john's,-31.6229,29.5448,22.010000000000048,88,98,5.28,ZA,1706755473
513,zalingei,12.9096,23.4741,16.170000000000016,27,32,3.7,SD,1706755473
514,saynshand,44.8824,110.1163,-20.50999999999999,73,100,1.31,MN,1706755474
515,vyaz'ma,55.2104,34.2951,0.5300000000000296,99,100,4.24,RU,1706755474
516,tamandare,-8.7597,-35.1047,25.450000000000045,85,36,1.41,BR,1706755474
517,stegaurach,49.8667,10.8333,7.6299999999999955,82,100,5.11,DE,1706755474
518,nipomo,35.0428,-120.476,15.170000000000016,74,75,8.23,US,1706755475
519,sao joao da barra,-21.6403,-41.0511,24.52000000000004,88,100,3.2,BR,1706755475
520,la'ie,21.6477,-157.9253,27.980000000000018,64,49,0.45,US,1706755475
521,paraiso,9.8383,-83.8656,19.480000000000018,96,87,1.97,CR,1706755476
522,midvagur,62.0511,-7.1939,3.4600000000000364,52,75,15.95,FO,1706755476
523,port lincoln,-34.7333,135.8667,21.939999999999998,57,0,5.61,AU,1706755476
524,kolonia,50.9333,6.95,8.920000000000016,86,100,5.14,DE,1706755476
525,ulaangom,49.9811,92.0667,-29.629999999999967,94,83,0.62,MN,1706755476
526,zandvoort,52.3749,4.5341,8.960000000000036,90,40,8.23,NL,1706755477
527,kashgar,39.4547,75.9797,-3.4399999999999977,80,100,4.0,CN,1706755477
528,kiunga,-6.1219,141.2906,33.860000000000014,51,56,2.16,PG,1706755477
529,tadine,-21.55,167.8833,25.930000000000007,73,99,2.4,NC,1706755477
530,palmas de monte alto,-14.2672,-43.1619,24.129999999999995,68,100,1.42,BR,1706755478
531,champoton,19.35,-90.7167,20.310000000000002,74,4,4.43,MX,1706755478
532,puerto aysen,-45.4,-72.7,14.490000000000009,100,100,1.81,CL,1706755478
533,naxos,37.1056,25.3764,12.020000000000039,68,100,11.62,GR,1706755479
534,rio de janeiro,-22.9028,-43.2075,23.0,88,75,3.6,BR,1706755286
535,togur,58.3631,82.8265,-18.24999999999997,97,100,2.68,RU,1706755479
536,novo aripuana,-5.1206,-60.3797,24.450000000000045,97,100,0.87,BR,1706755479
537,kerikeri,-35.2268,173.9474,27.180000000000007,38,0,1.3,NZ,1706755479
538,omagh,54.6,-7.3,4.28000000000003,90,100,2.7,GB,1706755480
